old_ministry,new_ministry,reason,news_item_id,title,old_path,new_path
병원,산업통상자원부,inferred,156370698,"병원체 안전관리제도, 한눈에 쉽게 파악할 수 있다",data/2020/2020-01/2020-01-13/020_병원_병원체_안전관리제도_한눈에_쉽게_파악할_수_있다.md,data/2020/2020-01/2020-01-13/020_산업통상자원부_병원체_안전관리제도_한눈에_쉽게_파악할_수_있다.md
해부,여성가족부,inferred,156370782,폭력피해 이주여성 전문 상담서비스 9개 시‧도로 확대된다,data/2020/2020-01/2020-01-13/045_해부_폭력피해_이주여성_전문_상담서비스_9개_시_도로_확대된다.md,data/2020/2020-01/2020-01-13/045_여성가족부_폭력피해_이주여성_전문_상담서비스_9개_시_도로_확대된다.md
눈부,산업통상자원부,inferred,156370786,"수소경제 추진 1년, 눈부신 초기 성과 달성",data/2020/2020-01/2020-01-13/053_눈부_수소경제_추진_1년_눈부신_초기_성과_달성.md,data/2020/2020-01/2020-01-13/053_산업통상자원부_수소경제_추진_1년_눈부신_초기_성과_달성.md
일원,산업통상자원부,inferred,156371345,"수소경제 홍보 일원화,『전담 T/F』구성",data/2020/2020-01/2020-01-16/033_일원_수소경제_홍보_일원화_전담_T_F_구성.md,data/2020/2020-01/2020-01-16/033_산업통상자원부_수소경제_홍보_일원화_전담_T_F_구성.md
확실,방송통신위원회,inferred,156371342,"확실한 변화 대한민국 2020 활력있는 방송통신, 신뢰받는 미디어",data/2020/2020-01/2020-01-16/047_확실_확실한_변화_대한민국_2020_활력있는_방송통신_신뢰받는_미디어.md,data/2020/2020-01/2020-01-16/047_방송통신위원회_확실한_변화_대한민국_2020_활력있는_방송통신_신뢰받는_미디어.md
내부,환경부,inferred,156371399,"(설명)과불화화합물이 높게 검출된 미군기지 인근지역의 지하수는 기준치 이하로 확인, 향후 지속 모니터링 예정[경향신문 2020.1.16일자 보도에 대한 설명]",data/2020/2020-01/2020-01-16/050_내부_설명_과불화화합물이_높게_검출된_미군기지_인근지역의_지하수는_기준치_이하로_확인_향후_지속_모니터링_예정_경향신문_2020_1_16일자_보도에_.md,data/2020/2020-01/2020-01-16/050_환경부_설명_과불화화합물이_높게_검출된_미군기지_인근지역의_지하수는_기준치_이하로_확인_향후_지속_모니터링_예정_경향신문_2020_1_16일자_보도에_.md
철원,환경부,inferred,156371558,"(공동-참고)파주시, 화천군 및 철원군 민통선 안팎 야생멧돼지 폐사체에서 아프리카돼지열병 바이러스 검출",data/2020/2020-01/2020-01-17/009_철원_공동_참고_파주시_화천군_및_철원군_민통선_안팎_야생멧돼지_폐사체에서_아프리카돼지열병_바이러스_검출.md,data/2020/2020-01/2020-01-17/009_환경부_공동_참고_파주시_화천군_및_철원군_민통선_안팎_야생멧돼지_폐사체에서_아프리카돼지열병_바이러스_검출.md
만원,기획재정부,inferred,156371855,(공동-보도)성능ㆍ환경성 중심으로 무공해차 보조금 체계 개편,data/2020/2020-01/2020-01-20/069_만원_공동_보도_성능_환경성_중심으로_무공해차_보조금_체계_개편.md,data/2020/2020-01/2020-01-20/069_기획재정부_공동_보도_성능_환경성_중심으로_무공해차_보조금_체계_개편.md
충실,방송통신위원회,inferred,156371890,"방통위, 엄격하고 충실한 심사를 통해 방송의 공공성·지역성 확보를 위한 조건 부가 결정",data/2020/2020-01/2020-01-20/092_충실_방통위_엄격하고_충실한_심사를_통해_방송의_공공성_지역성_확보를_위한_조건_부가_결정.md,data/2020/2020-01/2020-01-20/092_방송통신위원회_방통위_엄격하고_충실한_심사를_통해_방송의_공공성_지역성_확보를_위한_조건_부가_결정.md
충실,산업통상자원부,inferred,156372918,(설명자료)｢재생에너지 사용 인정제도｣는 시범사업 참여기업의 적극적 참여하에 본 사업 설계 및 이행준비를 충실히 준비중임 (전자신문 1.28일자 보도에 대한 설명),data/2020/2020-01/2020-01-28/061_충실_설명자료_재생에너지_사용_인정제도_는_시범사업_참여기업의_적극적_참여하에_본_사업_설계_및_이행준비를_충실히_준비중임_전자신문_1_28일자_보도.md,data/2020/2020-01/2020-01-28/061_산업통상자원부_설명자료_재생에너지_사용_인정제도_는_시범사업_참여기업의_적극적_참여하에_본_사업_설계_및_이행준비를_충실히_준비중임_전자신문_1_28일자_보도.md
탈원,산업통상자원부,inferred,156373791,"(설명자료)“탈원전 3년, LNG 발전비용 3조 더 늘었다”(한국경제, 2.3일자 보도)에 대한 설명",data/2020/2020-02/2020-02-03/042_탈원_설명자료_탈원전_3년_LNG_발전비용_3조_더_늘었다_한국경제_2_3일자_보도_에_대한_설명.md,data/2020/2020-02/2020-02-03/042_산업통상자원부_설명자료_탈원전_3년_LNG_발전비용_3조_더_늘었다_한국경제_2_3일자_보도_에_대한_설명.md
대처,방송통신위원회,inferred,156373964,"한상혁 위원장, 신종 코로나 바이러스 대응 관련 정확한 정보 제공과 가짜뉴스 대처 시 언론의 역할 강조",data/2020/2020-02/2020-02-04/033_대처_한상혁_위원장_신종_코로나_바이러스_대응_관련_정확한_정보_제공과_가짜뉴스_대처_시_언론의_역할_강조.md,data/2020/2020-02/2020-02-04/033_방송통신위원회_한상혁_위원장_신종_코로나_바이러스_대응_관련_정확한_정보_제공과_가짜뉴스_대처_시_언론의_역할_강조.md
북부,농림축산식품부,inferred,156374849,(공동-참고)야생멧돼지 아프리카돼지열병 확산 차단을 위해춘천-인제 구간 광역울타리 신설 및 농가단위 방역조치 강화,data/2020/2020-02/2020-02-10/082_북부_공동_참고_야생멧돼지_아프리카돼지열병_확산_차단을_위해춘천_인제_구간_광역울타리_신설_및_농가단위_방역조치_강화.md,data/2020/2020-02/2020-02-10/082_농림축산식품부_공동_참고_야생멧돼지_아프리카돼지열병_확산_차단을_위해춘천_인제_구간_광역울타리_신설_및_농가단위_방역조치_강화.md
확실,환경부,inferred,156375011,확실한 변화 대한민국 2020! 초미세먼지 20ug/m3 달성 위해 모든 역량 집중,data/2020/2020-02/2020-02-11/068_확실_확실한_변화_대한민국_2020_초미세먼지_20ug_m3_달성_위해_모든_역량_집중.md,data/2020/2020-02/2020-02-11/068_환경부_확실한_변화_대한민국_2020_초미세먼지_20ug_m3_달성_위해_모든_역량_집중.md
거부,환경부,inferred,156375398,(참고)민간업체 폐지 수거 거부 예고 시 즉시 공공수거 체계로 전환,data/2020/2020-02/2020-02-13/069_거부_참고_민간업체_폐지_수거_거부_예고_시_즉시_공공수거_체계로_전환.md,data/2020/2020-02/2020-02-13/069_환경부_참고_민간업체_폐지_수거_거부_예고_시_즉시_공공수거_체계로_전환.md
기부,환경부,inferred,156375665,"나눔을 통한 자원 선순환, 개발도상국에 의류 기부",data/2020/2020-02/2020-02-16/017_기부_나눔을_통한_자원_선순환_개발도상국에_의류_기부.md,data/2020/2020-02/2020-02-16/017_환경부_나눔을_통한_자원_선순환_개발도상국에_의류_기부.md
